metric,ARIMA,ARIMAX,NN,NN_vs_ARIMA_rel,NN_vs_ARIMAX_rel,ARIMAX_vs_ARIMA_rel
MAE (FF sum over H),23.44964897053176,28.218121547414455,23.605068069968453,0.006627779359597278,-0.16347840410619688,0.20334942253826668
RMSE (FF sum over H),51.016552262202275,63.770926370618646,51.34883417495088,0.006513217730606826,-0.19479240623656724,0.2500046267898424
