metric,ARIMAX,NN,NN_vs_ARIMAX_rel
MAE (FF sum over H),28.218121547414455,23.605068069968453,-0.16347840410619688
RMSE (FF sum over H),63.770926370618646,51.34883417495088,-0.19479240623656724
